su_id,UniqueID1,ParentUniqueID1,UniqueID1_recruiter
22222961,3000085,3000085,3000023
22222047,3000085,3000687,
22223507,3000085,3002109,
22222960,3000085,3000046,
22222049,3000086,3000086,3002443
22226538,3000086,3002571,
22222050,3000087,3000087,3002443
22227055,3000087,3000088,
22227058,3000087,3002726,
22227055,3000088,3000088,3000087
22227056,3000088,3002719,
22222050,3000088,3000087,
22223691,3000088,3002329,
22223735,3000089,3000089,3001894
22222114,3000089,3000726,
22222117,3000090,3000736,
22222117,3000090,3000736,
22222123,3000091,3000755,
22222123,3000091,3000755,
22222124,3000092,3000092,3000094
22226571,3000092,3000093,
22226571,3000092,3000093,
22226571,3000093,3000093,3000038
22222124,3000093,3000092,
22226570,3000094,3000094,3000038
22222124,3000094,3000092,
22223690,3000095,3000095,3000065
22222132,3000095,3000785,
22223790,3000096,3000096,3001894
22222149,3000096,3000793,
22222149,3000096,3000793,
22222185,3000097,3000097,3000073
22222822,3000097,3000136,
22226854,3000098,3000098,3002152
22222196,3000098,3000806,
22223691,3000098,3002329,
22222196,3000098,3000806,
22222197,3000099,3000099,3000093
22226571,3000099,3000093,
22222198,3000099,3000100,
22222198,3000100,3000100,3000093
22222382,3000100,3000968,
22222983,3000100,3000178,
22223061,3000101,3000101,3000058
22222198,3000101,3000100,
22222204,3000102,3000102,3000612
22222202,3000102,3000828,
22222202,3000102,3000828,
22222204,3000103,3000102,
22228514,3000103,3003243,
22223792,3000104,3000104,3001894
22222976,3000104,3000161,
22222209,3000104,3000839,
22222900,3000104,3001269,
22223868,3000105,3000105,3000212
22222210,3000105,3000841,
22222209,3000105,3000839,
22227176,3000106,3000106,3000642
22222248,3000106,3000864,
22227176,3000107,3000106,
22222248,3000107,3000864,
22222249,3000108,3000872,
22222249,3000108,3000872,
22222263,3000109,3000875,
22222263,3000109,3000875,
22223947,3000110,3000110,3002375
22222280,3000110,3000880,
22222406,3000111,3000111,3000887
22222286,3000111,3000887,
22222287,3000112,3000894,
22222287,3000112,3000894,
22222317,3000113,3000113,3002643
22222316,3000113,3000903,
22222316,3000113,3000903,
22223319,3000114,3000114,3000066
22222322,3000114,3000914,
22222329,3000115,3000115,3002450
22227037,3000115,3002713,
22222712,3000116,3000116,3000928
22222334,3000116,3000928,
22222334,3000117,3000928,
22222334,3000117,3000928,
22222376,3000118,3000118,3000122
22222377,3000118,3000119,
22222377,3000119,3000119,3000122
22223954,3000119,3000122,
22222377,3000120,3000119,
22222377,3000120,3000119,
22222378,3000121,3000121,3000122
22227589,3000121,3000315,
22223954,3000122,3000122,3002437
22222378,3000122,3000121,
22222454,3000123,3000123,3000113
22223344,3000123,3000124,
22223344,3000124,3000124,3000589
22222454,3000124,3000123,
22222455,3000125,3000125,3000113
22227799,3000125,3003053,
22228078,3000125,3000323,
22222738,3000126,3000126,3001857
22222504,3000126,3001010,
22222515,3000127,3000127,3000749
22223477,3000127,3000003,
22222862,3000128,3001194,
22222862,3000128,3001194,
22222581,3000129,3000129,3000131
22226540,3000129,3000131,
22226540,3000130,3000131,
22222581,3000130,3000129,
22226540,3000131,3000131,3001272
22222582,3000131,3000132,
22222581,3000131,3000129,
22222582,3000132,3000132,3000131
22226540,3000132,3000131,
22222725,3000133,3001057,
22222725,3000133,3001057,
22222739,3000134,3001089,
22222739,3000134,3001089,
22227746,3000135,3000135,3001211
22222803,3000135,3001129,
22222822,3000136,3000136,3000033
22222846,3000136,3001174,
22222822,3000137,3000136,
22222822,3000137,3000136,
22222962,3000138,3000138,3000023
22222825,3000138,3001160,
22222826,3000139,3000139,3001956
22223403,3000139,3000140,
22223403,3000139,3000140,
22223403,3000140,3000140,3000344
22222826,3000140,3000139,
22223577,3000141,3000141,3001755
22222826,3000141,3000139,
22222861,3000141,3001190,
22223403,3000142,3000140,
22222827,3000142,3001166,
22223403,3000142,3000140,
22222884,3000143,3000143,3000020
22222837,3000143,3001168,
22222865,3000144,3000144,3000011
22222838,3000144,3000016,
22222838,3000145,3000016,
22222838,3000145,3000016,
22222839,3000146,3000146,3000015
22222850,3000146,3001177,
22222852,3000147,3000147,3001166
22222853,3000147,3001187,
22222853,3000147,3001187,
22222861,3000148,3001190,
22222861,3000148,3001190,
22223358,3000149,3000149,3000065
22222864,3000149,3000013,
22222865,3000150,3000144,
22222977,3000150,3000017,
22222866,3000151,3000151,3000011
22223350,3000151,3000152,
22223350,3000152,3000152,3000151
22222866,3000152,3000151,
22227511,3000152,3000237,
22222868,3000153,3000153,3001190
22222867,3000153,3001211,
22222877,3000154,3000154,3001978
22223412,3000154,3001978,
22222879,3000154,3000155,
22222879,3000155,3000155,3000154
22222877,3000155,3000154,
22222893,3000156,3000156,3000162
22227123,3000156,3000157,
22227123,3000157,3000157,3002730
22222893,3000157,3000156,
22222894,3000158,3000158,3001150
22223174,3000158,3000159,
22223174,3000159,3000159,3001608
22222894,3000159,3000158,
22222899,3000160,3001265,
22222899,3000160,3001265,
22222976,3000161,3000161,3000167
22222900,3000161,3001269,
22222917,3000162,3000162,3000044
22223357,3000162,3001894,
22222921,3000163,3000004,
22227219,3000163,3002823,
22227222,3000163,3002828,
22222922,3000164,3000164,3000002
22223601,3000164,3000165,
22227122,3000164,3002744,
22223601,3000165,3000165,3000251
22228120,3000165,3000330,
22222922,3000165,3000164,
22222923,3000166,3000005,
22223008,3000166,3000192,
22223131,3000166,3001686,
22222936,3000167,3000167,3000169
22222975,3000167,3001384,
22222938,3000168,3000168,3000169
22222970,3000168,3001379,
22222970,3000168,3001379,
22223470,3000169,3000169,3001269
22222938,3000169,3000168,
22222947,3000170,3000170,3001255
22222946,3000170,3001332,
22222969,3000171,3000171,3000168
22222971,3000171,3000172,
22222971,3000172,3000172,3000168
22222969,3000172,3000171,
22222971,3000173,3000172,
22223403,3000173,3000140,
22222971,3000173,3000172,
22222981,3000174,3000174,3000038
22223167,3000174,3001716,
22222981,3000175,3000174,
22222981,3000175,3000174,
22222982,3000176,3000176,3000038
22223019,3000176,3000177,
22223019,3000177,3000177,3000176
22222982,3000177,3000176,
22222983,3000178,3000178,3000038
22226715,3000178,3000222,
22222983,3000179,3000178,
22222983,3000179,3000178,
22222991,3000180,3000180,3000012
22222992,3000180,3000181,
22222992,3000181,3000181,3000012
22222991,3000181,3000180,
22222991,3000181,3000180,
22222993,3000182,3000182,3000039
22222994,3000182,3000183,
22223511,3000182,3002122,
22222994,3000183,3000183,3000039
22222993,3000183,3000182,
22223458,3000184,3000247,
22222995,3000184,3001432,
22222996,3000185,3000185,3000004
22227124,3000185,3000298,
22223062,3000186,3000186,3000072
22222997,3000186,3000072,
22222997,3000186,3000072,
22222998,3000187,3000187,3000004
22223591,3000187,3000188,
22223591,3000188,3000188,3000210
22222998,3000188,3000187,
22223101,3000189,3000189,3000187
22222998,3000189,3000187,
22223508,3000190,3000190,3000034
22222999,3000190,3001448,
22223001,3000191,3001460,
22223001,3000191,3001460,
22223008,3000192,3000192,3000407
22228056,3000192,3000327,
22223008,3000193,3000192,
22223606,3000193,3002264,
22223565,3000194,3000194,3001487
22223010,3000194,3001487,
22223445,3000195,3002050,
22223010,3000195,3001487,
22226910,3000196,3002680,
22223056,3000196,3001529,
22227801,3000197,3000197,3000125
22228350,3000197,3003202,
22223056,3000197,3001529,
22223057,3000198,3000198,3000570
22227561,3000198,3002994,
22223200,3000199,3000199,3001557
22223060,3000199,3000059,
22223062,3000200,3000186,
22223062,3000200,3000186,
22223194,3000201,3000201,3002072
22223067,3000201,3001566,
22223071,3000202,3000202,3000203
22223124,3000202,3000203,
22223124,3000202,3000203,
22223124,3000203,3000203,3002047
22223072,3000203,3001575,
22223071,3000203,3000202,
22223071,3000203,3000202,
22223080,3000204,3000204,3000205
22223463,3000204,3000205,
22223081,3000204,3000207,
22223463,3000205,3000205,3000014
22223080,3000205,3000204,
22223081,3000205,3000207,
22223463,3000206,3000205,
22223080,3000206,3000204,
22223081,3000206,3000207,
22223081,3000207,3000207,3000205
22223080,3000207,3000204,
22223463,3000207,3000205,
22223092,3000208,3000208,3000202
22223256,3000208,3000229,
22223097,3000209,3001620,
22223746,3000209,3002358,
22223552,3000210,3000210,3001549
22223101,3000210,3000189,
22223101,3000210,3000189,
22223105,3000211,3000211,3000220
22223395,3000211,3001948,
22223395,3000211,3001948,
22223122,3000212,3000212,3002047
22226809,3000212,3000213,
22226809,3000213,3000213,3000212
22223122,3000213,3000212,
22227713,3000213,3003038,
22223128,3000214,3000214,3001323
22223130,3000214,3001681,
22223131,3000215,3001686,
22223131,3000215,3001686,
22227711,3000216,3003030,
22223131,3000216,3001686,
22223149,3000217,3000217,3000181
22223227,3000217,3001788,
22223158,3000218,3001704,
22223158,3000218,3001704,
22223160,3000219,3000219,3001681
22223193,3000219,3000220,
22223193,3000219,3000220,
22223193,3000220,3000220,3000219
22223160,3000220,3000219,
22223160,3000220,3000219,
22223162,3000221,3000221,3000178
22226715,3000221,3000222,
22228021,3000221,3003097,
22226715,3000222,3000222,3000178
22223162,3000222,3000221,
22223602,3000223,3000233,
22223163,3000223,3001712,
22227297,3000223,3002891,
22223175,3000224,3000028,
22223175,3000224,3000028,
22223196,3000225,3001748,
22227123,3000225,3000157,
22223200,3000226,3000199,
22223200,3000226,3000199,
22223254,3000227,3000227,3000228
22223287,3000227,3001824,
22223629,3000228,3000228,3000258
22223255,3000228,3001796,
22223256,3000229,3000229,3000228
22223288,3000229,3001827,
22223256,3000230,3000229,
22223288,3000230,3001827,
22223280,3000231,3000231,3000232
22223633,3000231,3000232,
22223633,3000232,3000232,3000269
22223615,3000232,3000269,
22223280,3000232,3000231,
22223602,3000233,3000233,3000251
22223302,3000233,3001833,
22223589,3000233,3000251,
22223589,3000233,3000251,
22223315,3000234,3001835,
22223315,3000234,3001835,
22223748,3000235,3000235,3001843
22223317,3000235,3001843,
22223336,3000236,3000236,3001597
22223380,3000236,3001930,
22227511,3000237,3000237,3000152
22227619,3000237,3003015,
22223350,3000237,3000152,
22223382,3000238,3001934,
22223382,3000238,3001934,
22223402,3000239,3001960,
22223402,3000239,3001960,
22223478,3000240,3000240,3002021
22223439,3000240,3002021,
22223439,3000240,3002021,
22227115,3000241,3000241,3000078
22227561,3000241,3002994,
22223439,3000241,3002021,
22223442,3000242,3000242,3001194
22223444,3000242,3002047,
22223444,3000242,3002047,
22223444,3000243,3002047,
22223442,3000243,3000242,
22226708,3000244,3000244,3001507
22223445,3000244,3002050,
22223457,3000245,3000245,3000542
22223458,3000245,3000247,
22223457,3000246,3000245,
22228350,3000246,3003202,
22223458,3000247,3000247,3000542
22223457,3000247,3000245,
22223459,3000248,3002061,
22223459,3000248,3002061,
22226851,3000249,3002655,
22223462,3000249,3002072,
22227270,3000249,3002854,
22226530,3000250,3000250,3000003
22227073,3000250,3002730,
22223477,3000250,3000003,
22223589,3000251,3000251,3000210
22223477,3000251,3000003,
22223601,3000251,3000165,
22223478,3000252,3000240,
22223478,3000252,3000240,
22227307,3000252,3002898,
22223484,3000253,3000253,3000005
22223486,3000253,3000254,
22223486,3000254,3000254,3000005
22223484,3000254,3000253,
22223484,3000255,3000253,
22223486,3000255,3000254,
22223527,3000256,3002130,
22223527,3000256,3002130,
