"","V1","V2"
"399",3590,NA
"400",3591,1
"401",3592,1
"402",3599,1
"403",3601,1
"404",3602,1
"405",3603,1
"406",3604,1
"407",3605,1
"408",3606,1
"409",3614,1
"410",3615,1
"411",3616,1
"412",3628,2
"413",3629,1
"414",3630,1
"415",3631,1
"416",3633,1
"417",3650,1
"418",3651,2
"419",3668,1
"420",3690,2
"421",3691,1
"422",3730,2
"423",3734,2
"424",3735,2
"425",3739,1
"426",3746,2
"427",3748,1
"428",3749,1
"429",3750,1
"430",3790,1
"431",3791,1
"432",3792,1
"433",3808,1
"434",3816,2
"435",3820,1
"436",3826,2
"437",3838,2
"438",3839,2
"439",3840,2
"440",3841,2
"441",3850,1
"442",3868,1
"443",3880,1
"444",3881,1
"445",3882,1
"446",3883,2
"447",3884,2
"448",3885,1
"449",3886,1
"450",3905,1
"451",3906,2
"452",3908,1
"453",3912,2
"454",3947,1
"455",3952,1
"456",3954,1
"457",3955,1
"458",3970,1
"459",3972,1
"460",6356,2
"461",6357,2
"462",6358,1
"463",6359,1
"464",6410,2
"465",6418,1
"466",6530,2
"467",6531,2
"468",6536,2
"469",6537,1
"470",6538,1
"471",6539,1
"472",6540,1
"473",6566,2
"474",6567,2
"475",6569,2
"476",6570,1
"477",6571,1
"478",6614,1
"479",6634,1
"480",6687,2
"481",6708,NA
"482",6715,2
"483",6746,1
"484",6767,1
"485",6809,1
"486",6830,1
"487",6839,1
"488",6851,1
"489",6854,2
"490",6855,1
"491",6905,1
"492",6908,2
"493",6910,1
"494",6914,2
"495",6915,1
"496",6916,2
"497",6923,2
"498",6956,1
"499",6957,1
"500",6958,1
"501",7009,2
"502",7037,2
"503",7055,1
"504",7056,1
"505",7057,1
"506",7058,1
"507",7073,2
"508",7115,1
"509",7121,2
"510",7122,1
"511",7123,2
"512",7124,1
"513",7125,2
"514",7126,2
"515",7127,2
"516",7135,1
"517",7139,2
"518",7141,1
"519",7151,1
"520",7153,1
"521",7159,2
"522",7176,2
"523",7211,2
"524",7217,1
"525",7219,1
"526",7220,1
"527",7222,1
"528",7265,1
"529",7266,1
"530",7269,1
"531",7270,1
"532",7289,1
"533",7290,1
"534",7292,1
"535",7293,1
"536",7295,1
"537",7297,1
"538",7299,1
"539",7307,2
"540",7309,2
"541",7310,1
"542",7343,1
"543",7385,1
"544",7386,1
"545",7387,2
"546",7388,1
"547",7389,1
"548",7391,1
"549",7392,1
"550",7453,1
"551",7457,1
"552",7458,1
"553",7459,1
"554",7481,1
"555",7483,1
"556",7511,2
"557",7524,1
"558",7543,1
"559",7561,1
"560",7573,2
"561",7589,2
"562",7607,2
"563",7609,1
"564",7619,2
"565",7643,1
"566",7703,1
"567",7704,2
"568",7705,1
"569",7711,2
"570",7713,2
"571",7745,1
"572",7746,1
"573",7799,2
"574",7800,2
"575",7801,1
"576",8002,1
"577",8003,2
"578",8004,1
"579",8006,1
"580",8021,1
"581",8053,1
"582",8054,1
"583",8055,1
"584",8056,1
"585",8059,1
"586",8077,1
"587",8078,2
"588",8095,2
"589",8119,2
"590",8120,2
"591",8121,1
"592",8122,2
"593",8227,1
"594",8233,1
"595",8234,2
"596",8235,2
"597",8296,2
