SU_ID,source,alter,UniqueID1,ParentUniqueID1
11111156,0,0,3000044,3000044
11111156,1,1,3000045,3000044
11111156,1,2,3000487,3000044
11111156,2,1,3000045,3000044
11111157,0,0,3000488,3000488
11111157,1,1,3000489,3000488
11111157,1,2,3000490,3000488
11111157,2,1,3000491,3000488
11111159,0,0,3000023,3000023
11111159,1,1,3000492,3000023
11111159,1,2,3000046,3000023
11111159,2,1,3000022,3000023
11111200,0,0,3000493,3000493
11111200,1,1,3000047,3000493
11111200,2,1,3000494,3000493
11111211,0,0,3000495,3000495
11111211,1,1,3000496,3000495
11111211,1,2,3000497,3000495
11111211,1,3,3000498,3000495
11111211,2,1,3000499,3000495
11111211,2,2,3000500,3000495
11111218,0,0,3000048,3000048
11111218,1,1,3000501,3000048
11111218,1,2,3000502,3000048
11111218,1,3,3000503,3000048
11111218,1,4,3000504,3000048
11111218,1,5,3000505,3000048
11111218,2,1,3000506,3000048
11111218,2,2,3000507,3000048
11111218,2,3,3000508,3000048
11111218,2,4,3000509,3000048
11111218,2,5,3000510,3000048
11111219,0,0,3000511,3000511
11111219,1,1,3000512,3000511
11111219,1,2,3000513,3000511
11111219,2,1,3000514,3000511
11111219,2,2,3000515,3000511
11111219,2,3,3000049,3000511
11111219,2,4,3000017,3000511
11111221,0,0,3000050,3000050
11111221,1,1,3000051,3000050
11111221,1,2,3000516,3000050
11111221,2,1,3000051,3000050
11111223,0,0,3000517,3000517
11111223,1,1,3000518,3000517
11111223,1,2,3000519,3000517
11111223,1,3,3000520,3000517
11111223,1,4,3000521,3000517
11111223,1,5,3000522,3000517
11111223,2,1,3000523,3000517
11111223,2,2,3000524,3000517
11111223,2,3,3000525,3000517
11111223,2,4,3000526,3000517
11111223,2,5,3000527,3000517
11111233,0,0,3000528,3000528
11111233,1,1,3000529,3000528
11111233,2,1,3000530,3000528
11111233,2,2,3000531,3000528
11111233,2,3,3000532,3000528
11111233,2,4,3000533,3000528
11111233,2,5,3000534,3000528
11111237,0,0,3000535,3000535
11111237,1,1,3000052,3000535
11111237,1,2,3000536,3000535
11111237,1,3,3000537,3000535
11111237,1,4,3000538,3000535
11111237,1,5,3000539,3000535
11111237,2,1,3000052,3000535
11111237,2,2,3000540,3000535
11111237,2,3,3000541,3000535
11111237,2,4,3000542,3000535
11111237,2,5,3000543,3000535
11111245,0,0,3000544,3000544
11111245,1,1,3000545,3000544
11111245,1,2,3000546,3000544
11111245,1,3,3000547,3000544
11111245,1,4,3000053,3000544
11111245,1,5,3000548,3000544
11111245,2,1,3000053,3000544
11111245,2,2,3000549,3000544
11111245,2,3,3000550,3000544
11111245,2,4,3000551,3000544
11111245,2,5,3000552,3000544
11111256,0,0,3000553,3000553
11111256,1,1,3000554,3000553
11111256,2,1,3000555,3000553
11111256,2,2,3000556,3000553
11111256,2,3,3000557,3000553
11111256,2,4,3000558,3000553
11111256,2,5,3000559,3000553
11111259,0,0,3000054,3000054
11111259,1,1,3000560,3000054
11111259,1,2,3000027,3000054
11111259,1,3,3000055,3000054
11111259,2,1,3000561,3000054
11111259,2,2,3000055,3000054
11111259,2,3,3000562,3000054
11111259,2,4,3000563,3000054
11111259,2,5,3000564,3000054
11111263,0,0,3000565,3000565
11111263,1,1,3000566,3000565
11111263,1,2,3000567,3000565
11111263,1,3,3000568,3000565
11111263,2,1,3000569,3000565
11111263,2,2,3000570,3000565
11111263,2,3,3000571,3000565
11111263,2,4,3000572,3000565
11111301,0,0,3000573,3000573
11111301,1,1,3000574,3000573
11111301,1,2,3000575,3000573
11111301,2,1,3000576,3000573
11111301,2,2,3000577,3000573
11111301,2,3,3000578,3000573
11111301,2,4,3000579,3000573
11111301,2,5,3000580,3000573
11111302,0,0,3000581,3000581
11111302,1,1,3000056,3000581
11111302,1,2,3000057,3000581
11111302,1,3,3000582,3000581
11111302,1,4,3000583,3000581
11111302,2,1,3000584,3000581
11111303,0,0,3000058,3000058
11111303,1,1,3000059,3000058
11111303,1,2,3000585,3000058
11111303,1,3,3000586,3000058
11111303,2,1,3000059,3000058
11111304,0,0,3000587,3000587
11111304,1,1,3000588,3000587
11111304,1,2,3000060,3000587
11111304,1,3,3000589,3000587
11111304,1,4,3000061,3000587
11111304,1,5,3000062,3000587
11111304,2,1,3000062,3000587
11111304,2,2,3000590,3000587
11111304,2,3,3000591,3000587
11111304,2,4,3000060,3000587
11111304,2,5,3000592,3000587
11111305,0,0,3000593,3000593
11111305,1,1,3000594,3000593
11111305,1,2,3000595,3000593
11111305,1,3,3000596,3000593
11111305,2,1,3000597,3000593
11111305,2,2,3000598,3000593
11111305,2,3,3000599,3000593
11111306,0,0,3000600,3000600
11111306,1,1,3000063,3000600
11111306,1,2,3000601,3000600
11111306,1,3,3000602,3000600
11111306,1,4,3000064,3000600
11111306,2,1,3000064,3000600
11111306,2,2,3000603,3000600
11111306,2,3,3000604,3000600
11111306,2,4,3000605,3000600
11111306,2,5,3000606,3000600
11111307,0,0,3000065,3000065
11111307,1,1,3000066,3000065
11111307,1,2,3000067,3000065
11111307,1,3,3000607,3000065
11111307,1,4,3000068,3000065
11111307,1,5,3000069,3000065
11111307,2,1,3000066,3000065
11111308,0,0,3000608,3000608
11111308,1,1,3000609,3000608
11111308,1,2,3000610,3000608
11111308,2,1,3000070,3000608
11111309,0,0,3000611,3000611
11111309,1,1,3000071,3000611
11111309,1,2,3000612,3000611
11111309,1,3,3000613,3000611
11111309,1,4,3000614,3000611
11111309,1,5,3000072,3000611
11111309,2,1,3000072,3000611
11111309,2,2,3000615,3000611
11111309,2,3,3000616,3000611
11111309,2,4,3000617,3000611
11111309,2,5,3000618,3000611
11111310,0,0,3000619,3000619
11111310,2,1,3000620,3000619
11111310,2,2,3000621,3000619
11111311,0,0,3000073,3000073
11111311,1,1,3000074,3000073
11111311,1,2,3000622,3000073
11111311,2,1,3000074,3000073
11111312,0,0,3000623,3000623
11111312,1,1,3000624,3000623
11111312,1,2,3000625,3000623
11111312,1,3,3000626,3000623
11111312,2,1,3000627,3000623
11111313,0,0,3000628,3000628
11111313,1,1,3000629,3000628
11111313,2,1,3000630,3000628
11111314,0,0,3000075,3000075
11111314,1,1,3000631,3000075
11111314,1,2,3000632,3000075
11111314,2,1,3000633,3000075
11111314,2,2,3000634,3000075
11111314,2,3,3000635,3000075
11111315,0,0,3000636,3000636
11111315,1,1,3000076,3000636
11111315,1,2,3000637,3000636
11111315,2,1,3000076,3000636
11111315,2,2,3000638,3000636
11111315,2,3,3000639,3000636
11111315,2,4,3000640,3000636
11111315,2,5,3000641,3000636
11111316,0,0,3000076,3000076
11111316,1,1,3000642,3000076
11111316,1,2,3000077,3000076
11111316,2,1,3000077,3000076
11111316,2,2,3000643,3000076
11111317,0,0,3000078,3000078
11111317,1,1,3000644,3000078
11111317,1,2,3000645,3000078
11111317,1,3,3000646,3000078
11111317,1,4,3000079,3000078
11111317,1,5,3000647,3000078
11111317,2,1,3000648,3000078
11111317,2,2,3000649,3000078
11111317,2,3,3000650,3000078
